item, last name,first name,movie,year,nationality,latitude,longitude
Maren  Ade,Ade,Maren ,Toni Erdmann,2016,german  ,511.642292,10.4541194
Desiree Akhavan,Akhavan,Desiree,Appropriate Behavior,2015,iran,324.207423,53.6830157
Chantal  Akerman,Akerman,Chantal ,News From Home,1977,belgium ,50.5010789  ,4.4764595
Haifaa Al-Mansour,Al-Mansour,Haifaa,Wadjda,2012,saudi arabia ,24.266906    ,45.107849
Debbie Allen,Allen,Debbie,Life Is Not A Fairy Tale- The Fantasia Barrino Story ,2006,united states,37.0902405,-95.7128906
Natalia Almada,Almada,Natalia,El General,2009,Mexico,23.6260333 ,-102.5375005
Ana Lily Amirpour,Amirpour,Ana Lily,A Girl Walks Home Alone at Night,2014,united kingdom,51.509865  ,-0.118092
Madeline  Anderson,Anderson,Madeline ,Infinity Factory ,1977,united states,37.0902405  ,-95.7128906
Momoko  Ando,Ando,Momoko ,0.5mm ,2014,Japan,124.15717,145.575
Maya  Angelou,Angelou,Maya ,Down in the Delta ,1998,united states,37.0902405 ,-95.7128906
Andrea Arnold,Arnold,Andrea,Fish Tank,2009,united kingdm,51.509865   ,-0.118092
Amma  Asante,Asante,Amma ,Where Hands Touch,2018,united kingdom,51.509865  ,-0.118092
Clio Barnard,Barnard,Clio,The Arbor,2011,united kingdom,51.509865 ,-0.118092
Neema  Barnette,Barnette,Neema ,Heaven Ain't Hard to Find ,2010,united states,37.0902405 ,-95.7128906
Amy Berg ,Berg ,Amy,West of Memphis,2012,united states,37.0902405 ,-95.7128906
Julie Bertuccelli,Bertuccelli,Julie,Since Otar Left,2004,france,46.71109                   ,1.7191036
Susanne Bier ,Bier ,Susanne,Open Hearts,2002,denmark,55.9396761   ,9.5155848
Kathryn  Bigelow,Bigelow,Kathryn ,Zero Dark Thirty,2012,united states,37.0902405 ,-95.7128906
Zana Briski,Briski,Zana,Born in Brothels,2004,united kingdom,51.509865  ,-0.118092
Jane Campion,Campion,Jane,Bright Star,2009,new zealand,-43.3744881   ,172.4662705
Niki  Caro,Caro,Niki ,Whale Rider,2002,new zealand,-43.3744881   ,172.4662705
Park  Chan-ok,Chan-ok,Park ,Jealousy is My Middle Name ,2002,korea,35.8615124 ,127.096405
Ayoka  Chenzira,Chenzira,Ayoka ,Alma's Rainbow ,1993,united states,37.0902405,-95.7128906
Jessie  Chisi,Chisi,Jessie , “Every Woman Knows”,2016,zambia,-13.1403507 ,27.8493049
Lisa Cholodenko,Cholodenko,Lisa,The Kids are All Right,2010,united states,37.0902405,-95.7128906
Věra  Chytilová,Chytilová,Věra ,Daisies,1966,tschech republic,49.8037633 ,15.4749126
Shirley Clarke,Clarke,Shirley,Portrait of Jason,1967,united states,37.0902405  ,-95.7128906
Agustina Comedi,Comedi,Agustina,Silence is a falling body,2017,argentina,-38.4192641   ,-63.5989206
Sofia  Coppola,Coppola,Sofia ,Somewhere,2010,united states,37.0902405,-95.7128906
Claire  Denis,Denis,Claire ,White Material,2009,france,46.71109                 ,1.7191036
Maya  Deren,Deren,Maya ,Ritual in Transfigured Time,1946,ukraine,48.383022     ,31.1828699
Mattie  Do,Do,Mattie ,Dearest Sister,2016,Laos,18.206296    ,103.889022
Mary  Dore,Dore,Mary ,She's Beautiful When She's Angry,2014,united states,37.0902405  ,-95.7128906
Julia  Ducournau,Ducournau,Julia ,Raw,2016,france,46.71109                    ,1.7191036
Nosipho Dumisa,Dumisa,Nosipho,Number 37,2017,south africa,-28.4792625   ,24.6727135
Marguerite  Duras,Duras,Marguerite ,India Song,1975,france,46.71109                  ,1.7191036
Ava  DuVernay,DuVernay,Ava ,13th,2016,united states,37.0902405  ,-95.7128906
Ronit Elkabetz,Elkabetz,Ronit,GETT: The Trial of Viviane Amsalem,2015,israel,31.4117257 ,35.0818155
Ildikó Enyedi,Enyedi,Ildikó,On Body and Soul,2017,hungary,47.1611615   ,19.5057541
Nora  Ephron,Ephron,Nora ,Sleepless in Seattle,1993,united states,37.0902405 ,-95.7128906
Deniz Gamze Ergüven,Ergüven,Deniz Gamze,Mustang,2015,Turkey,38.9573415   ,35.240741
Sabaah Folayan,Folayan,Sabaah,Whose Streets?,2017,united states,37.0902405 ,-95.7128906
Julie Gavras,Gavras,Julie,Blame it on Fidel,2006,france,46.71109                 ,1.7191036
Greta Gerwig,Gerwig,Greta,Lady Bird,2017,united states,37.0902405 ,-95.7128906
Debra  Granik,Granik,Debra ,Leave no Trace,2018,united states,37.0902405  ,-95.7128906
Ka-Ram Han,Han,Ka-Ram,our body,2019,korea,35.8615124 ,127.096405
Mary  Harron,Harron,Mary ,American Psycho,2000,canada,56.0   ,-96.0
Yael Hersonski,Hersonski,Yael,A Film Unfinished,2010,israel,31.4117257  ,35.0818155
