category-main,category,description,name,address,website,Latitude,Longitude
night,networking,events/conference,Aquarium at Sudblock,narrativ e.V. Skalitzer Str. 6 10999 Berlin,https://www.suedblock.org/wp/category/aquarium/,52.498581,13.416510
night,pub,events/QueerEvents,Silver Future,Weserstr. 206. 12047 Berlin,https://www.silverfuture.net/,52.488040,13.430180
night,pub,events/QueerEvents,Mobel Olfe,Reichenberger Str. 177. 10999 Berlin,https://www.moebel-olfe.de/,52.499900,13.417200
day/night,cafe/pub,cafe/food/workspace/events,BE’KECH,Exerzierstraße 14. 13357. Berlin,https://bekech.com/,52.554020,13.374640
night,pub,events/arts/cabaret nights/movie screenings/exhibitions/discussions,BEGINE,Potsdamer Straße 139. 10783 Berlin,https://www.begine.de/,52.4967592,13.3618488
night,party,party,SchwuZ,Rollbergstraße 26. 12053 Berlin,www.schwuz.de,52.4793708,13.4337947
night,pub,karaoke bar/events/QueerEvents,Monster Ronson’s Karaoke,Warschauer Straße 34. 10243 Berlin,www.karaokemonster.de,52.505137,13.4482078
night,pub,events/QueerEvents,Tristeza,Pannierstraße 5. 12047 Berlin,https://tristezakollektiv.wordpress.com/,52.4865618,13.430953
night,pub,closed/events/to-be-continued,Liebig34,Liebigstraße 34. 10247 Berlin,http://liebig34.blogsport.de/,52.5180564,13.4570699
night,party,party/QueerEvents,About blank,Markgrafendamm 24c. 10245 Berlin,http://aboutblank.li/,52.5022839,13.4663084
night,pub,events,Paloma Bar,Skalitzer Str. 135. 10999 Berlin,https://palomabar.de,52.4994272,13.4187092
night,party,closed/to-be-continued,DIe Busche ,Warschauer Platz 18. 10245 Berlin,https://www.diebusche.de,52.5046782,13.4490212
night,party,events/concerts,Kirche von Unten,Storkower Str. 119. 10407 Berlin,https://kvu-berlin.de/,52.5355078,13.4517297
night,pub,events,B-Lage,Mareschstraße 1. 12055 Berlin,http://b-lage.de/,52.4736946,13.451159
night,pub,party/QueerEvents,Maze - Arts Culture and Living,Mehringdamm 61. 10961 Berlin,http://maze.berlin/,52.490789,13.3871797
night,cafe/pub,events/QueerEvents,Himmelreich,Simon-Dach-Straße 36. 10245 Berlin,https://www.himmelreich-berlin.de/,52.5102582,13.4566212
night,pub,events,Bandito Rosso,Lottumstr. 10a. 10119 Berlin,https://banditorosso.site36.net/,52.5308391,13.4072585
day/night,cafe/pub,events,Eschschloraque,Rosenthaler Str. 39 - 2 (hinter hof). 10178 Berlin,https://www.eschschloraque.de/,52.5245092,13.4030348
night,party,events/concerts,Loophole,Boddinstraße 60. 12053 Berlin,loophole-berlin.com,52.4806789,13.432949
night,bar,events/QueerEvents,Twinpigs,Boddinstraße 57A. 12053 Berlin,no website,52.4805295,13.4318174
night,pub,,Freibeuter,Silvio-Meier-Str. 10. 10247 Berlin,no website,52.5161739,13.4633487
night,pub,events,Sameheads,Richardstraße 10. 12043 Berlin,http://www.sameheads.com/home,52.4778422,13.4394686
day/night,cafe/pub,events,OYA,Mariannenstraße 5. 10997 Berlin,https://www.instagram.com/oya_bar/,52.5010043,13.4233725
day/night,cafe/pub/restaurant,Selig,Herrfurthplatz 14. 12049 Berlin. Germany,https://www.selig.berlin/,52.476987,13.4224107
night,pub,events,Lauschangriff,Rigaer Str. 103. 10247 Berlin,no website,52.5182565,13.4552573
