Month-Day,Month,Day,Item,Genre ,Description,Link
06-03,06,03,The Queer Archive Festival,festival,"The Queer* Archive is a creative platform working with an eclectic list of local and international artists, film-makers, producers, cultural managers and institutions for the discussion, production and communication of provocative and powerful artistic ideas, projects and activities.",https://www.thequeerarchive.com/
06-22,06,22,Woman (OmeU) Open Air Cinema on the island,cinema,"Woman is a worldwide project giving a voice to 2000 women across 50 different countries. Despite its very large scale, the film offers an intimate portrait of those who constitute half of the humanity.",https://www.facebook.com/events/230180511886615/
06-23,06,23,Lebanon Hanover Livestream Concert,music,"Lebanon Hanover , an ice cold reply to the alienated world coming from two warm beating hearts.",https://www.facebook.com/events/805815160042142/
06-24,06,24,Sing Out Sister! Karaoke,music,Karaoke in a bar,https://www.facebook.com/events/245346007391767/
06-25,06,25,Neinmaschine - krachiger Post-Punk & Punk,music,"Die Neinmaschine im Internet. Hier läuft alles, was punkig und krachig ist.",https://www.facebook.com/events/496969678290364/
06-25,06,25,Queerfeminismus und Islam - eine feministische Kritik.,workshop,"In den letzten Jahren hat sich im gegenwärtig diskursdominierenden Queerfeminismus eine Strömung herausgebildet, die diese Fragen mit “Ja!” beantwortet.",https://www.facebook.com/events/164246712329463/
06-26,06,26,Non Native Native Fair,online fair,"The NON NATIVE NATIVE FAIR is an experimental hybrid event that brings together Asian creative cultural practitioners from various backgrounds and disciplines to present their work and products in an online trade fair environment. By repurposing the concept of an “Asian cultural fair” — a collage of elements which represent Asian culture — the NNN Fair examines the positions and relationships of Aliens within the Dutch cultural landscape by blurring the boundaries between reality and fiction, appreciation and appropriation, labour and play.",https://www.nnnfair.com/
06-28,06,28,Why we matter - Emilia Roig,reading,"Das sagt der Aufbau Verlag über das Buch: „Wie erkennen wir unsere Privilegien? Wie können Weiße die Realität von Schwarzen sehen? Männliche Muslime die von weißen Frauen? Und weiße Frauen die von männlichen Muslimen?
Die Aktivistin und Politologin Emilia Roig zeigt – auch anhand der Geschichte ihrer eigenen Familie, in der wie unter einem Brennglas Rassismus und Black Pride, Antisemitismus und Auschwitz, Homophobie und Queerness, Patriarchat und Feminismus aufeinanderprallen –, wie sich Rassismus im Alltag mit anderen Arten der Diskriminierung überschneidet. ",https://www.shesaid.de/collections/talks/products/lesung-mit-emilia-roig
07-04,07,04,Victoria Pride Week Festival Extravaganza Show 2021,festival,The Victoria Pride Festival Extravaganza Show features a variety of spectacular performances from local LGBTQIA2S+ artists from drag to dance to music and more!,https://www.facebook.com/events/929065171260025
07-08,07,08,Speerspitze des postkolonialen Antisemitismus,workshop,Achille Mbembes ›Nekropolitik‹ als Handreichung für deutsche Erinnerungskultur,https://www.facebook.com/events/294492315674311
07-14,07,14,"Silvia Federici: Women, Capitalism, and the Body",workshop,"In this course, we’ll read closely the entirety of Federici’s Caliban and the Witch: Women, the Body, and Primitive Accumulation—exploring, as we go, the history of the body during the transition to capitalism.",https://www.facebook.com/events/319473799701261
07-29,07,29,Michael Schüßler: Zur Kritik des performativen Körpers,workshop,Vortrag und Diskussion mit Michael Schüßler,https://www.facebook.com/events/152917710156739
08-04,08,04,Tina Sanders: Girl Bosses. Zur Frauenquote als Ideologie,workshop,"Tina Sanders ist Politologin und Soziologin und lebt in Leipzig. Sie beschäftigt sich mit Antisemitismus und Frauenrechten im internationalen Kontext sowie der Kritik von Kapitalismus, Islam und Identitätspolitik.",https://www.facebook.com/events/1610328952495973
09-11,09,11,"Tanzdemo ""Wem gehört die Stadt?""",protest,"Gemeinsam zeigen wir, dass Tanzen und Politik keine Gegensätze sind, sondern Ausdruck einer Gesellschaft, die zusammenkommt, sich vernetzt und sich einmischt. Wenn wir die Stadt nicht verändern, tun es andere für uns.",https://www.facebook.com/events/5638306882877089
