Month,Dates,Item,Genre ,Link,Description
February,13.02-14.03,CTM Cyberia - Virtual multiplayer festival environment,online exhibition,https://www.ctm-festival.de/festival-2021/programme/exhibition/cyberia,CTM Cyberia throws festival goers into a landscape of Transformation. Explore a range of digital artworks hidden throughout a disorienting environment of mercurial visuals and erratic sounds.
February,14.02.,Revenge on patriarchy! Against all forms of sexism – in the streets and at home! #MyBodyIsNotYourPorn,demo,https://racheampatriarchatberlin.noblogs.org/,
February,14.02.,English Online-Tour: Valentine's Day in Vienna,online tour,https://fb.me/e/27K3BBxoc,
February,15.02.,Unverzichtbar Feministisch - 30 Jahre Ostberliner Frauenzentren,online lecture ,https://calendar.boell.de/de/event/unverzichtbar-feministisch-30-jahre-ostberliner-frauenzentren,"""30 Jahre Ostberliner Frauenzentren"" geben den Anlass, die Geschichte und die Zukunft dieser Orte und ihr frauenpolitisches bzw. feministisches Wirken in den Fokus zu rücken."
February,16.02.,Revolte in Chile - Lesung mit Sophia Boddenberg,reading ,"Um Anmeldung wird gebeten, per Mail an: ute.loehning@npla.de","In der Online-Verstanstaltung wird Sophia Boddenberg kurze Passagen ihres Buches vorlesen. Gemeinsam mit ihr wollen wir bei dieser Gelegenheit über die Aufbruchstimmung, Hoffnung und die Diversität der Protestbewegung sprechen, in der sich Alte und Junge, Feministinnen und Indigene zusammenfinden."
February,17.02.,Queere Ängste,workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
February,17.02.,WILDWUCHS - Autorinnenkurzfestival in Kooperation mit der UdK Berlin,theatre ,https://td.berlin/streaming,Thre short plays by female authors and directors
February,18.02,"Körperpolitiken und Aufklärungsmodi in deutschsprachigen feministischen Comics der Gegenwart, Dr. Nina Schmidt (Freie Universität Berlin)",lecture,https://www.fu-berlin.de/campusleben/kalender/2021/02/20210218-koerperpolitiken-und-aufklaerungsmodi.html,"Vortrag im Rahmen der Ringvorlesung ""Comic – Kunst – Körper. Konstruktion und Subversion von Körperbildern im Comic"""
February,18.02,WILDWUCHS - Autorinnenkurzfestival in Kooperation mit der UdK Berlin,theatre ,https://td.berlin/streaming,Thre short plays by female authors and directors
February,18.02,Krawalle und Liebe,"reading, pop, conversation",https://lfbrecht.de/,"Sexism and sexualised violence is part of the daily life of women, lesbians, inter, non-binary, trans, queer and asexuel people, of FLINTA*. We share the experiance of being objectified and sexualised constantly. This sucks – we have had enough!"
February,19.02,Valeria Bruschi: Einführung zu feministischem Marxismus – Positionen zu geschlechtlicher Arbeitsteilung und Reproduktionsarbeit,"reading, pop, conversation",https://www.facebook.com/events/240361094354136,"Jenseits von Forderungen nach Wahlrecht oder Repräsentation gibt es seit der Entstehung der bürgerlichen Gesellschaft eine Tradition von feministischem Denken, das den Kapitalismus radikal kritisiert. "
February,19.02,43% Zartbitter. Rassismus & Liebe,"reading, lecture",https://calendar.boell.de/de/event/43-zartbitter-rassismus-liebe,"Wunderbare Word Art-Künstler*innen erinnern sich, denken laut, sind ungehalten und wütend: Rassismus und Diskriminierung wirken selbst in persönlichsten Lebensbereichen,- dies ist eine bittere Erfahrung von Schwarzen Menschen und von People of Color (PoC)."
