Month,Day,Item,Genre ,Link,Description
02,13,CTM Cyberia - Virtual multiplayer festival environment,online exhibition,https://bit.ly/3dgd8OD,CTM Cyberia throws festival goers into a landscape of Transformation. Explore a range of digital artworks hidden throughout a disorienting environment of mercurial visuals and erratic sounds.
02,14,Revenge on patriarchy! Against all forms of sexism – in the streets and at home! #MyBodyIsNotYourPorn,demo,https://bit.ly/2LVQlN4,
02,14,English Online-Tour: Valentine's Day in Vienna,online tour,https://bit.ly/37iVtlE,
02,15,Unverzichtbar Feministisch - 30 Jahre Ostberliner Frauenzentren,online lecture ,https://bit.ly/3tWTcq6,"""30 Jahre Ostberliner Frauenzentren"" geben den Anlass, die Geschichte und die Zukunft dieser Orte und ihr frauenpolitisches bzw. feministisches Wirken in den Fokus zu rücken."
02,16,Revolte in Chile - Lesung mit Sophia Boddenberg,reading ,"Um Anmeldung wird gebeten, 
per Mail an: ute.loehning@npla.de","In der Online-Verstanstaltung wird Sophia Boddenberg kurze Passagen ihres Buches vorlesen. Gemeinsam mit ihr wollen wir bei dieser Gelegenheit über die Aufbruchstimmung, Hoffnung und die Diversität der Protestbewegung sprechen, in der sich Alte und Junge, Feministinnen und Indigene zusammenfinden."
02,17,Queere Ängste,workshop,http://queertopia.blogsport.de/termine-dates/#16022021,
02,17,WILDWUCHS - Autorinnenkurzfestival in Kooperation mit der UdK Berlin,theatre ,https://td.berlin/streaming,Thre short plays by female authors and directors
02,18,"Körperpolitiken und Aufklärungsmodi in deutschsprachigen feministischen Comics der Gegenwart, Dr. Nina Schmidt (Freie Universität Berlin)",lecture,https://bit.ly/3b9xsi6,"Vortrag im Rahmen der Ringvorlesung ""Comic – Kunst – Körper. Konstruktion und Subversion von Körperbildern im Comic"""
02,18,WILDWUCHS - Autorinnenkurzfestival in Kooperation mit der UdK Berlin,theatre ,https://td.berlin/streaming,Thre short plays by female authors and directors
02,18,Krawalle und Liebe,"reading, pop, conversation",https://lfbrecht.de/,"Sexism and sexualised violence is part of the daily life of women, lesbians, inter, non-binary, trans, queer and asexuel people, of FLINTA*. We share the experiance of being objectified and sexualised constantly. This sucks – we have had enough!"
02,19,Valeria Bruschi: Einführung zu feministischem Marxismus – Positionen zu geschlechtlicher Arbeitsteilung und Reproduktionsarbeit,"reading, pop, conversation",https://bit.ly/3b47v3G,"Jenseits von Forderungen nach Wahlrecht oder Repräsentation gibt es seit der Entstehung der bürgerlichen Gesellschaft eine Tradition von feministischem Denken, das den Kapitalismus radikal kritisiert. "
02,19,43% Zartbitter. Rassismus & Liebe,"reading, lecture",https://bit.ly/37cLq1p,"Wunderbare Word Art-Künstler*innen erinnern sich, denken laut, sind ungehalten und wütend: Rassismus und Diskriminierung wirken selbst in persönlichsten Lebensbereichen,- dies ist eine bittere Erfahrung von Schwarzen Menschen und von People of Color (PoC)."
02,21,Lùisa @ Press Play - Livestream Konzerte,Concert ,https://bit.ly/3rXFjq2,
02,24,"Sharon Dodua Otoo ""Adas Raum""",reading,https://lfbrecht.de/event/sharon-dodua-otoo-adas-raum/,
02,25,Frauen an die Bücher!,reading group,https://bit.ly/3jOqLpE,"Zum 25.02. lesen wir ""Schwarzer Feminismus - Grundlagentexte"" Natasha A. Kelly."
02,25,Environment as Evidence,online class,https://bit.ly/3dgGigK,"How can we use spatial investigation of nature as a political sensor for expanding the practices of open-source activism far and wide? School of Machines, Making & Make-Believe presents 5-wk online class dedicated to data&spatial storytelling for investigative journalism. "
