Item,Last name,First name,Movie,Year,Nationality
Maren  Ade,Ade,Maren ,Toni Erdmann,2016,German  
Desiree Akhavan,Akhavan,Desiree,Appropriate Behavior,2015,Iran
Chantal  Akerman,Akerman,Chantal ,News From Home,1977,Belgium 
Haifaa Al-Mansour,Al-Mansour,Haifaa,Wadjda,2012,Saudi arabia 
Debbie Allen,Allen,Debbie,Life Is Not A Fairy Tale- The Fantasia Barrino Story ,2006,United states
Natalia Almada,Almada,Natalia,El General,2009,Mexico
Ana Lily Amirpour,Amirpour,Ana Lily,A Girl Walks Home Alone at Night,2014,United kingdom
Madeline  Anderson,Anderson,Madeline ,Infinity Factory ,1977,United states
Momoko  Ando,Ando,Momoko ,0.5mm ,2014,Japan
Maya  Angelou,Angelou,Maya ,Down in the Delta ,1998,United states
Andrea Arnold,Arnold,Andrea,Fish Tank,2009,United kingdm
Amma  Asante,Asante,Amma ,Where Hands Touch,2018,United kingdom
Clio Barnard,Barnard,Clio,The Arbor,2011,United kingdom
Neema  Barnette,Barnette,Neema ,Heaven Ain't Hard to Find ,2010,United states
Amy Berg ,Berg ,Amy,West of Memphis,2012,United states
Julie Bertuccelli,Bertuccelli,Julie,Since Otar Left,2004,France
Susanne Bier ,Bier ,Susanne,Open Hearts,2002,Denmark
Kathryn  Bigelow,Bigelow,Kathryn ,Zero Dark Thirty,2012,United states
Zana Briski,Briski,Zana,Born in Brothels,2004,United kingdom
Jane Campion,Campion,Jane,Bright Star,2009,New zealand
Niki  Caro,Caro,Niki ,Whale Rider,2002,New zealand
Park  Chan-ok,Chan-ok,Park ,Jealousy is My Middle Name ,2002,South Korea
Ayoka  Chenzira,Chenzira,Ayoka ,Alma's Rainbow ,1993,United states
Jessie  Chisi,Chisi,Jessie , “Every Woman Knows”,2016,Zambia
Lisa Cholodenko,Cholodenko,Lisa,The Kids are All Right,2010,United states
Věra  Chytilová,Chytilová,Věra ,Daisies,1966,Czech Republic
Shirley Clarke,Clarke,Shirley,Portrait of Jason,1967,United states
Agustina Comedi,Comedi,Agustina,Silence is a falling body,2017,Argentina
Sofia  Coppola,Coppola,Sofia ,Somewhere,2010,United states
Claire  Denis,Denis,Claire ,White Material,2009,France
Maya  Deren,Deren,Maya ,Ritual in Transfigured Time,1946,Ukraine
Mattie  Do,Do,Mattie ,Dearest Sister,2016,Laos
Mary  Dore,Dore,Mary ,She's Beautiful When She's Angry,2014,United states
Julia  Ducournau,Ducournau,Julia ,Raw,2016,France
Nosipho Dumisa,Dumisa,Nosipho,Number 37,2017,South africa
Marguerite  Duras,Duras,Marguerite ,India Song,1975,France
Ava  DuVernay,DuVernay,Ava ,13th,2016,United states
Ronit Elkabetz,Elkabetz,Ronit,GETT: The Trial of Viviane Amsalem,2015,Israel
Ildikó Enyedi,Enyedi,Ildikó,On Body and Soul,2017,Hungary
Nora  Ephron,Ephron,Nora ,Sleepless in Seattle,1993,United states
Deniz Gamze Ergüven,Ergüven,Deniz Gamze,Mustang,2015,Turkey
Sabaah Folayan,Folayan,Sabaah,Whose Streets?,2017,United states
Julie Gavras,Gavras,Julie,Blame it on Fidel,2006,France
Greta Gerwig,Gerwig,Greta,Lady Bird,2017,United states
Debra  Granik,Granik,Debra ,Leave no Trace,2018,United states
Ka-Ram Han,Han,Ka-Ram,our body,2019,South Korea
Mary  Harron,Harron,Mary ,American Psycho,2000,Canada
Yael Hersonski,Hersonski,Yael,A Film Unfinished,2010,Israel
Lomboleni Oshosheni  Hiveluah,Hiveluah,Lomboleni Oshosheni ,Tjitji the Himba Girl,2018,Namibia
Joanna Hogg,Hogg,Joanna,The Souvenir,2019,United kingdom
Lee Hyun-joo,Hyun-joo,Lee,Our Love Story,2016,South Korea
Judy Irving,Irving,Judy,The Wild Parrots of Telegraph Hill,2005,United states
Annemarie  Jacir,Jacir,Annemarie ,Salt Of The Sea,2008,Palestine
Jannicke Systad Jacobsen,Jacobsen,Jannicke Systad,"Turn Me On, Dammit!",2012,Norway
Agnes Jaoui,Jaoui,Agnes,The Taste of Others,2000,France
Patty  Jenkins,Jenkins,Patty ,Wonder Woman,2017,United states
Wanuri  Kahiu,Kahiu,Wanuri ,Rafiki,2018,Kenya
Payal  Kapadia,Kapadia,Payal ,Afternoon Clouds,2017,India
Chiemi Karasawa,Karasawa,Chiemi,Elaine Stritch: Shoot Me,2014,United states
Avival Kempner,Kempner,Avival,The Life and Times of Hank Greenberg,2000,United states
Jennifer Kent,Kent,Jennifer,The Babadook,2014,Australia
