Item,Last name,First name,Movie,Year,Nationality,latitude,longitude,order,city_for_lat-lon
Maren Ade,Ade,Maren,Toni Erdmann,2016,Germany,52.52437,13.41053,22,Berlin
Desiree Akhavan,Akhavan,Desiree,Appropriate Behavior,2015,Iran,35.69439,51.42151,30,Tehran
Chantal Akerman,Akerman,Chantal,News From Home,1977,Belgium ,50.5010789  ,4.4764595,4,
Haifaa Al-Mansour,Al-Mansour,Haifaa,Wadjda,2012,Saudi Arabia ,24.266906    ,45.107849,52,
Debbie Allen,Allen,Debbie,Life Is Not A Fairy Tale- The Fantasia Barrino Story ,2006,United States,40.71427,-74.00597,72,New York City
Natalia Almada,Almada,Natalia,El General,2009,Mexico,23.6260333 ,-102.5375005,44,
Ana Lily Amirpour,Amirpour,Ana Lily,A Girl Walks Home Alone at Night,2014,United Kingdom,51.50853,-0.12574,63,London
Madeline Anderson,Anderson,Madeline,Infinity Factory ,1977,United States,34.05223,-118.24368,73,Los Angeles
Momoko Ando,Ando,Momoko,0.5mm ,2014,Japan,35.6895,139.69171,36,Tokyo
Maya Angelou,Angelou,Maya,Down in the Delta ,1998,United States,41.85003,-87.65005,74,Chicago
Andrea Arnold,Arnold,Andrea,Fish Tank,2009,United Kingdom,52.48142,-1.89983,64,Birmingham
Amma Asante,Asante,Amma,Where Hands Touch,2018,United Kingdom,53.41058,-2.97794,65,Liverpool
Clio Barnard,Barnard,Clio,The Arbor,2011,United Kingdom,52.9536,-1.15047,66,Nottingham
Neema Barnette,Barnette,Neema,Heaven Ain't Hard to Find ,2010,United States,29.76328,-95.36327,75,Houston
Amy Berg ,Berg ,Amy,West of Memphis,2012,United States,39.95233,-75.16379,76,Philadelphia
Julie Bertuccelli,Bertuccelli,Julie,Since Otar Left,2004,France,48.85341,2.3488,14,Paris
Susanne Bier ,Bier ,Susanne,Open Hearts,2002,Denmark,55.9396761   ,9.5155848,12,
Kathryn Bigelow,Bigelow,Kathryn,Zero Dark Thirty,2012,United States,33.44838,-112.07404,77,Phoenix
Zana Briski,Briski,Zana,Born in Brothels,2004,United Kingdom,53.38297,-1.4659,67,Sheffield
Jane Campion,Campion,Jane,Bright Star,2009,New zealand,-36.84853,174.76349,47,Auckland
Niki Caro,Caro,Niki,Whale Rider,2002,New zealand,-41.28664,174.77557,48,Wellington
Park Chan-ok,Chan-ok,Park,Jealousy is My Middle Name ,2002,South Korea,37.566,126.9784,55,Seoul
Ayoka Chenzira,Chenzira,Ayoka,Alma's Rainbow ,1993,United States,29.42412,-98.49363,78,San Antonio
Jessie Chisi,Chisi,Jessie, “Every Woman Knows”,2016,Zambia,-13.1403507 ,27.8493049,103,
Lisa Cholodenko,Cholodenko,Lisa,The Kids are All Right,2010,United States,32.71571,-117.16472,79,San Diego
Věra Chytilová,Chytilová,Věra,Daisies,1966,Czech Republic,49.8037633 ,15.4749126,11,
Shirley Clarke,Clarke,Shirley,Portrait of Jason,1967,United States,32.78306,-96.80667,80,Dallas
Agustina Comedi,Comedi,Agustina,Silence is a falling body,2017,Argentina,-34.61315,-58.37723,1,Buenos Aires
Sofia Coppola,Coppola,Sofia,Somewhere,2010,United States,40.6501,-73.94958,81,Brooklyn
Claire Denis,Denis,Claire,White Material,2009,France,43.29695,5.38107,15,Marseille
Maya Deren,Deren,Maya,Ritual in Transfigured Time,1946,Ukraine,48.383022     ,31.1828699,62,
Mattie Do,Do,Mattie,Dearest Sister,2016,Laos,18.206296    ,103.889022,42,
Mary Dore,Dore,Mary,She's Beautiful When She's Angry,2014,United States,40.68149,-73.83652,82,Queens
Julia Ducournau,Ducournau,Julia,Raw,2016,France,45.74846,4.84671,16,Lyon
Nosipho Dumisa,Dumisa,Nosipho,Number 37,2017,South Africa,-28.4792625   ,24.6727135,54,
Marguerite Duras,Duras,Marguerite,India Song,1975,France,43.60426,1.44367,17,Toulouse
Ava DuVernay,DuVernay,Ava,13th,2016,United States,37.33939,-121.89496,83,San Jose
Ronit Elkabetz,Elkabetz,Ronit,GETT: The Trial of Viviane Amsalem,2015,Israel,31.76904,35.21633,32,Jerusalem
Ildikó Enyedi,Enyedi,Ildikó,On Body and Soul,2017,Hungary,47.1611615   ,19.5057541,26,
