Item,Links,Genre
Adele,,['soul']['female vocalists']['british']['pop']['singer-songwriter']
AFAR,https://soundcloud.com/afarlive,['black metal']['post-black metal']['atmospheric black metal']['new england black metal']
Afrodeutsche,,['house']['techno']['electro']['piano']['england']
Agar Agar,https://agar--agar.bandcamp.com/,['synthpop']['france']['french']['indie pop']['art pop']
Ah! Kosmos (über),https://ahkosmos.com/,
Alanis Morissette,,['rock']['female vocalists']['alternative']['pop']['singer-songwriter']
Aldous Harding,,['folk']['new zealand']['singer-songwriter']['female vocalists']['indie']
Alina Baraz,,['electronic']['pop']['rnb']['female vocalists']['alternative rnb']
Amelie Lens,,['techno']['trance']['electronic']['minimal']['acid techno']
ANNA,,['minimal']['minimal techno']['techno']['electronic']
Avalon emerson,,['house']['techno']['electronic']['a v a l o n e m e r s o n']['a']
Barbra Streisand,,['female vocalists']['pop']['easy listening']['80s']['diva']
BEA1991,,['eurobeat']['new wave']['indie']['acoustic']['miaou']
Beyonce,,['rnb']['pop']['female vocalists']['soul']['beyonce']
Bjork,,['electronic']['alternative']['experimental']['female vocalists']['icelandic']
Cannons,,['oi']['pop']['electronic']['skinhead']['punk']
Caroline Polachek,,['art pop']['pop']['electronic']['alternative rnb']['indie pop']
Caterina Barbieri,,['ambient']['electronic']['minimalism']['drone ambient']['dark ambient']
Celine Dion,,['pop']['female vocalists']['canadian']['90s']['celine dion']
Choomba,,['australia']['eletronica']
Claire Laffut,,['french']['belgium']['soul']['indie pop']['female vocalists']
DJ ANNA,,['techno']['electronic']['minimal']['minimal techno']['tech house']
Elvin Brandhi,,['electronic']['experimental']['frauen und technik']['abstract']['electroacoustic']
Emeli Sande,,['soul']['british']['female vocalists'][rnb]['pop']'
FELIN,https://soundcloud.com/felin-music,['pop']['all']
FKA twigs,,['trip-hop']['electronic']['experimental']['lush']['dream pop']
Goldfrapp,,['electronic']['trip-hop']['female vocalists']['lush']['dance']
Groove Armada,,['electronic']['chillout']['house']['dance']['poptron']
HAIM,,['indie']['indie pop']['female vocalists']['indie rock']['soft rock']
Halsey,,['pop']['indie']['indie pop']['female vocalists']['alternative']
Hante.,,['darkwave']['synthpop']['minimal synth']['minimal wave']['coldwave']
Hercules & Love Affair,,
HVOB,,['deep house']['house']['electronic']['female vocalists']['austrian']
Ibeyi,,['trip-hop']['experimental']['electronic']['dream pop']['indie']
Imogen Heap,,['female vocalists']['electronic']['indie']['lush']['alternative']
James Donald Davies,,
Janelle Monae,,
Janet Jackson,,['pop']['rnb']['dance']['female vocalists']['soul']
Jessica 6,,['electronic']['disco']['dance']['disco house']['new york']
Kat Frankie,,['singer-songwriter']['female vocalists']['acoustic']['berlin']['australian']
Kedr Livanskiy,,['electronic']['russian']['techno']['lo-fi']['ambient']
Kelly Lee Owens,,['electronic']['downtempo']['ambient pop']['minimal techno']['tech house']
Kelsey Lu,https://kelseylu.bandcamp.com/,['experimental']['art pop']['indie']['rnb']['alternative']
Kerala Dust,,['london']['deep house']['united states']['deep dive']['deepdive']
Kim Ann Foxman,,['disco']['house']['electronic']['electropop']['hercules and love affair']
Koop,,['jazz']['chillout']['acid jazz']['downtempo']['lounge']
Lali Puna,,['electronic']['indietronica']['indie']['female vocalists']['digitalis']
